State_UT,District_ID,Empowerment_Dimension,Female_Literacy_Percent,Female_LFPR_Percent,Girls_Secondary_Edu_Percent,Women_Bank_Account_Percent,Women_Digital_Access_Percent,Empowerment_Score,Data_Timestamp,Women_Educated_Per_Year,Women_Economic_Contributors,Women_Economic_Growth_Contribution_Percent,Women_Lack_of_Education_Percent,RealTime_Empowerment_Index,Risk_Level,Future_Empowerment_Index
Uttar Pradesh,1271,Digital Inclusion,0.7121780445111274,0.8562140535133782,0.19303860772154435,0.7490000000000001,0.8095714523928629,0.285,2024-01-01 06:22:00,47419,289582,0.24545454545454545,0.30015108275977853,0.5522296837647481,Moderate Risk,0.5750868266218909
Karnataka,5360,Health,0.13953488372093026,0.9447361840460113,0.2254450890178037,0.7840000000000003,0.4378856094714023,0.385,2024-01-01 08:47:00,58043,142123,0.07454545454545455,0.3021655195568239,0.41547324862263235,Moderate Risk,0.43833039147977526
Telangana,3400,Digital Inclusion,0.4293573393348338,0.751687921980495,0.39747949589917986,0.9357500000000005,0.6948474237118559,0.082,2024-01-01 10:42:00,229161,117930,0.18000000000000002,0.3533657881483969,0.5346411384392518,Moderate Risk,0.5574982812963944
Uttar Pradesh,3036,Education,0.8827206801700425,0.264066016504126,0.9667933586717343,0.10350000000000015,0.344672336168084,0.467,2024-01-01 11:08:00,189282,319513,0.5054545454545454,0.8505959375524593,0.5596861249315703,Moderate Risk,0.5825432677887131
Uttar Pradesh,3507,Digital Inclusion,0.5021255313828457,0.5623905976494123,0.5067013402680536,0.0867500000000001,0.9949974987493745,0.196,2024-01-01 11:14:00,26060,186132,0.027272727272727282,0.4854792680879638,0.4522452804871967,Moderate Risk,0.46581706638014325
Odisha,6004,Health,0.4108527131782944,0.4763690922730681,0.30806161232246443,0.87975,0.8856094714023678,0.954,2024-01-01 16:51:00,498874,337929,0.2381818181818182,0.41749202618767844,0.5166166762208131,Moderate Risk,0.5394738190779559
Uttar Pradesh,6792,Digital Inclusion,0.69792448112028,0.4298574643660914,0.0646129225845169,0.7342500000000003,0.26113056528264134,0.329,2024-01-01 19:18:00,111456,311611,0.8563636363636363,0.11146550276985068,0.450800653212431,Moderate Risk,0.47365779606957376
Rajasthan,8728,Health,0.5698924731182795,0.15203800950237556,0.5845169033806761,0.6792500000000001,0.30865432716358177,0.59,2024-01-01 21:45:00,394360,344858,0.1,0.5235856974987411,0.4168482015233792,Moderate Risk,0.439705344380522
Odisha,6939,Economic,0.46161540385096256,0.7064266066516629,0.07501500300060016,0.37775000000000003,0.4242121060530265,0.789,2024-01-01 22:27:00,121341,379604,0.6981818181818181,0.17542387107604507,0.4169464012591593,Moderate Risk,0.4398035441163022
Telangana,3733,Safety,0.11377844461115272,0.6014003500875218,0.8203640728145631,0.049250000000000016,0.9978322494580624,0.818,2024-01-01 23:33:00,122563,16573,0.39636363636363636,0.8040960214873258,0.540440682117466,Moderate Risk,0.5536075036234573
